VM3149:14 R1: 02e7, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0000,  ha: 1
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0030, R6: 0001, R7: 0016, R8: 0020,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 0021,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 0022,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 0023,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 0029,  ha: 0
VM3149:14 R1: 0000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 002a,  ha: 0
VM3149:14 R1: 0007, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 002b,  ha: 0
VM3149:14 R1: 0007, R2: 0000, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 002c,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 1025, R4: 0031, R5: 0039, R6: 0001, R7: 0016, R8: 002d,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 1025, R4: 0031, R5: 0039, R6: 02c0, R7: 0016, R8: 002e,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 1025, R4: 0031, R5: 0039, R6: 02d7, R7: 0016, R8: 002f,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 1025, R4: 0031, R5: 0039, R6: 02d7, R7: 0030, R8: 02d7,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 02c0, R4: 0031, R5: 0039, R6: 02d7, R7: 0030, R8: 02d8,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0031, R5: 0039, R6: 02d7, R7: 0030, R8: 02d9,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 02da,  ha: 0, lf: 1, la: 02e6, ld: 0003
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0007, R5: 0039, R6: 02d7, R7: 0030, R8: 02db,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0007, R5: 0039, R6: 02d7, R7: 0030, R8: 02dc,  ha: 0, sf: 1, sa: 02e6, sd: 0007
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0001, R5: 0039, R6: 02d7, R7: 0030, R8: 02dd,  ha: 0, lf: 1, la: 02e7, ld: 0001
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 02de,  ha: 0
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 02df,  ha: 0, sf: 1, sa: 02e7, sd: 0003
VM3149:14 R1: 0007, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0030,  ha: 0
VM3149:14 R1: 1000, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0031,  ha: 0
VM3149:14 R1: 1000, R2: 0002, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0032,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 02e6, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0033,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0034,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0003, R5: 0039, R6: 02d7, R7: 0030, R8: 0035,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0039, R6: 02d7, R7: 0030, R8: 0036,  ha: 0, lf: 1, la: 1001, ld: 0066
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0040, R6: 02d7, R7: 0030, R8: 0037,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0041, R6: 02d7, R7: 0030, R8: 0038,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0041, R6: 0001, R7: 0030, R8: 0039,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0041, R6: 0001, R7: 0030, R8: 003a,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 005a, R6: 0001, R7: 0030, R8: 003b,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 005a, R6: 0000, R7: 0030, R8: 003c,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 005a, R6: 0000, R7: 0030, R8: 003e,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 005a, R6: 0000, R7: 0030, R8: 003f,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 005a, R6: 0000, R7: 0030, R8: 0034,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 005a, R6: 0000, R7: 0030, R8: 0035,  ha: 0
